,Team,Opponent,Date,Result,Bowling,O,M,R,W,NB,WD,E/R
2,Spain,Netherlands XI,| Friday 8th October | 07:00,Netherlands XI beat Spain by 66 runs,Clayton Floyd,2,0,20,0,0,1,10
3,Spain,Netherlands XI,| Friday 8th October | 07:00,Netherlands XI beat Spain by 66 runs,Julian De Mey,2,0,7,0,0,2,3.50
4,Spain,Netherlands XI,| Friday 8th October | 07:00,Netherlands XI beat Spain by 66 runs,Sebastiaan Braat (c),2,0,17,2,0,0,8.50
0,Netherlands XI,Belgium,| Thursday 7th October | 15:00,Belgium beat Netherlands XI by 5 wickets,Viv Kingma,2,0,25,2,1,1,12.50
1,Netherlands XI,Belgium,| Thursday 7th October | 15:00,Belgium beat Netherlands XI by 5 wickets,Ryan Klein,1,0,8,0,0,0,8
2,Netherlands XI,Belgium,| Thursday 7th October | 15:00,Belgium beat Netherlands XI by 5 wickets,Clayton Floyd,2,0,9,2,0,1,4.50
3,Netherlands XI,Belgium,| Thursday 7th October | 15:00,Belgium beat Netherlands XI by 5 wickets,Sebastiaan Braat (c),1,0,33,0,1,0,33
4,Netherlands XI,Belgium,| Thursday 7th October | 15:00,Belgium beat Netherlands XI by 5 wickets,Shariz Ahmad,1.1,0,16,1,0,0,13.71
5,Netherlands XI,Belgium,| Thursday 7th October | 15:00,Belgium beat Netherlands XI by 5 wickets,Musa Ahmad,1,0,7,0,0,0,7
0,Belgium,Netherlands XI,| Thursday 7th October | 15:00,Belgium beat Netherlands XI by 5 wickets,Viv Kingma,2,0,25,2,1,1,12.50
1,Belgium,Netherlands XI,| Thursday 7th October | 15:00,Belgium beat Netherlands XI by 5 wickets,Ryan Klein,1,0,8,0,0,0,8
2,Belgium,Netherlands XI,| Thursday 7th October | 15:00,Belgium beat Netherlands XI by 5 wickets,Clayton Floyd,2,0,9,2,0,1,4.50
3,Belgium,Netherlands XI,| Thursday 7th October | 15:00,Belgium beat Netherlands XI by 5 wickets,Sebastiaan Braat (c),1,0,33,0,1,0,33
4,Belgium,Netherlands XI,| Thursday 7th October | 15:00,Belgium beat Netherlands XI by 5 wickets,Shariz Ahmad,1.1,0,16,1,0,0,13.71
5,Belgium,Netherlands XI,| Thursday 7th October | 15:00,Belgium beat Netherlands XI by 5 wickets,Musa Ahmad,1,0,7,0,0,0,7
0,Spain,Italy,| Thursday 7th October | 13:00,Spain beat Italy by 2 runs,Atif Mehmood,2,0,24,2,0,0,12
1,Spain,Italy,| Thursday 7th October | 13:00,Spain beat Italy by 2 runs,Ravi Panchal,2,0,15,2,0,1,7.50
2,Spain,Italy,| Thursday 7th October | 13:00,Spain beat Italy by 2 runs,Zulqarnain Haider,2,0,28,0,0,0,14
3,Spain,Italy,| Thursday 7th October | 13:00,Spain beat Italy by 2 runs,Kuldeep Lal,1,0,20,0,0,0,20
