,Team,Opponent,Date,Result,Bowling,O,M,R,W,NB,WD,E/R
0,Italy,Spain,| Tuesday 5th October | 09:00,Italy beat Spain by 96 runs,Muhammad Imran,2,0,24,1,0,0,12
1,Italy,Spain,| Tuesday 5th October | 09:00,Italy beat Spain by 96 runs,Janaka Wass,1,0,15,1,0,1,15
2,Italy,Spain,| Tuesday 5th October | 09:00,Italy beat Spain by 96 runs,Damith Kosala,2,0,11,1,0,1,5.50
3,Italy,Spain,| Tuesday 5th October | 09:00,Italy beat Spain by 96 runs,Ammad Khan,2,0,11,2,0,3,5.50
4,Italy,Spain,| Tuesday 5th October | 09:00,Italy beat Spain by 96 runs,Rajmani Sandhu,1,0,6,1,0,0,6
5,Italy,Spain,| Tuesday 5th October | 09:00,Italy beat Spain by 96 runs,Jorawar Singh,1,0,4,1,0,0,4
6,Italy,Spain,| Tuesday 5th October | 09:00,Italy beat Spain by 96 runs,Baljit Singh (c),1,0,12,1,0,0,12
0,Spain,Italy,| Tuesday 5th October | 09:00,Italy beat Spain by 96 runs,Muhammad Imran,2,0,24,1,0,0,12
1,Spain,Italy,| Tuesday 5th October | 09:00,Italy beat Spain by 96 runs,Janaka Wass,1,0,15,1,0,1,15
2,Spain,Italy,| Tuesday 5th October | 09:00,Italy beat Spain by 96 runs,Damith Kosala,2,0,11,1,0,1,5.50
3,Spain,Italy,| Tuesday 5th October | 09:00,Italy beat Spain by 96 runs,Ammad Khan,2,0,11,2,0,3,5.50
4,Spain,Italy,| Tuesday 5th October | 09:00,Italy beat Spain by 96 runs,Rajmani Sandhu,1,0,6,1,0,0,6
5,Spain,Italy,| Tuesday 5th October | 09:00,Italy beat Spain by 96 runs,Jorawar Singh,1,0,4,1,0,0,4
6,Spain,Italy,| Tuesday 5th October | 09:00,Italy beat Spain by 96 runs,Baljit Singh (c),1,0,12,1,0,0,12
0,Austria,Netherlands XI,| Tuesday 5th October | 07:00,Austria beat Netherlands XI by 48 runs,Aqib Iqbal,2,0,23,1,0,2,11.50
1,Austria,Netherlands XI,| Tuesday 5th October | 07:00,Austria beat Netherlands XI by 48 runs,Sahel Zadran,2,0,11,3,0,2,5.50
2,Austria,Netherlands XI,| Tuesday 5th October | 07:00,Austria beat Netherlands XI by 48 runs,Ahsan Yousuf,2,0,23,1,0,0,11.50
3,Austria,Netherlands XI,| Tuesday 5th October | 07:00,Austria beat Netherlands XI by 48 runs,Shahil Momin,2,0,13,3,0,2,6.50
4,Austria,Netherlands XI,| Tuesday 5th October | 07:00,Austria beat Netherlands XI by 48 runs,Imran Asif,1,0,15,0,0,0,15
5,Austria,Netherlands XI,| Tuesday 5th October | 07:00,Austria beat Netherlands XI by 48 runs,Zeeshan Goraya,0.3,0,1,2,0,0,2
0,Netherlands XI,Austria,| Tuesday 5th October | 07:00,Austria beat Netherlands XI by 48 runs,Aqib Iqbal,2,0,23,1,0,2,11.50
1,Netherlands XI,Austria,| Tuesday 5th October | 07:00,Austria beat Netherlands XI by 48 runs,Sahel Zadran,2,0,11,3,0,2,5.50
2,Netherlands XI,Austria,| Tuesday 5th October | 07:00,Austria beat Netherlands XI by 48 runs,Ahsan Yousuf,2,0,23,1,0,0,11.50
3,Netherlands XI,Austria,| Tuesday 5th October | 07:00,Austria beat Netherlands XI by 48 runs,Shahil Momin,2,0,13,3,0,2,6.50
4,Netherlands XI,Austria,| Tuesday 5th October | 07:00,Austria beat Netherlands XI by 48 runs,Imran Asif,1,0,15,0,0,0,15
5,Netherlands XI,Austria,| Tuesday 5th October | 07:00,Austria beat Netherlands XI by 48 runs,Zeeshan Goraya,0.3,0,1,2,0,0,2
0,England XI,Spain,| Monday 4th October | 15:10,England XI beat Spain by 93 runs,Rich Edwards,2,0,22,1,0,1,11
1,England XI,Spain,| Monday 4th October | 15:10,England XI beat Spain by 93 runs,Euan Woods,2,0,13,1,0,0,6.50
2,England XI,Spain,| Monday 4th October | 15:10,England XI beat Spain by 93 runs,Max Uttley,2,0,14,1,0,0,7
3,England XI,Spain,| Monday 4th October | 15:10,England XI beat Spain by 93 runs,Arthur Godsal,2,0,11,2,2,0,5.50
4,England XI,Spain,| Monday 4th October | 15:10,England XI beat Spain by 93 runs,Sam Pearce,2,0,22,3,0,0,11
0,Spain,England XI,| Monday 4th October | 15:10,England XI beat Spain by 93 runs,Rich Edwards,2,0,22,1,0,1,11
1,Spain,England XI,| Monday 4th October | 15:10,England XI beat Spain by 93 runs,Euan Woods,2,0,13,1,0,0,6.50
2,Spain,England XI,| Monday 4th October | 15:10,England XI beat Spain by 93 runs,Max Uttley,2,0,14,1,0,0,7
3,Spain,England XI,| Monday 4th October | 15:10,England XI beat Spain by 93 runs,Arthur Godsal,2,0,11,2,2,0,5.50
4,Spain,England XI,| Monday 4th October | 15:10,England XI beat Spain by 93 runs,Sam Pearce,2,0,22,3,0,0,11
0,Netherlands XI,Italy,| Monday 4th October | 13:00,Netherlands XI beat Italy by 37 runs,Viv Kingma,2,0,18,0,0,0,9
1,Netherlands XI,Italy,| Monday 4th October | 13:00,Netherlands XI beat Italy by 37 runs,Ryan Klein,2,0,6,1,0,0,3
2,Netherlands XI,Italy,| Monday 4th October | 13:00,Netherlands XI beat Italy by 37 runs,Sebastiaan Braat (c),2,0,17,2,0,0,8.50
3,Netherlands XI,Italy,| Monday 4th October | 13:00,Netherlands XI beat Italy by 37 runs,Clayton Floyd,2,0,11,1,0,0,5.50
4,Netherlands XI,Italy,| Monday 4th October | 13:00,Netherlands XI beat Italy by 37 runs,Shariz Ahmad,2,0,15,0,0,0,7.50
0,Italy,Netherlands XI,| Monday 4th October | 13:00,Netherlands XI beat Italy by 37 runs,Viv Kingma,2,0,18,0,0,0,9
1,Italy,Netherlands XI,| Monday 4th October | 13:00,Netherlands XI beat Italy by 37 runs,Ryan Klein,2,0,6,1,0,0,3
2,Italy,Netherlands XI,| Monday 4th October | 13:00,Netherlands XI beat Italy by 37 runs,Sebastiaan Braat (c),2,0,17,2,0,0,8.50
3,Italy,Netherlands XI,| Monday 4th October | 13:00,Netherlands XI beat Italy by 37 runs,Clayton Floyd,2,0,11,1,0,0,5.50
4,Italy,Netherlands XI,| Monday 4th October | 13:00,Netherlands XI beat Italy by 37 runs,Shariz Ahmad,2,0,15,0,0,0,7.50
0,Belgium,Austria,| Monday 4th October | 11:00,Belgium beat Austria by 34 runs,Murid Ekrami,2,0,32,1,0,1,16
1,Belgium,Austria,| Monday 4th October | 11:00,Belgium beat Austria by 34 runs,Fahim Bhatti,1,0,13,0,0,2,13
2,Belgium,Austria,| Monday 4th October | 11:00,Belgium beat Austria by 34 runs,Saber Zakhil,2,0,22,1,0,1,11
3,Belgium,Austria,| Monday 4th October | 11:00,Belgium beat Austria by 34 runs,Khalid Ahmadzai,2,0,13,3,0,1,6.50
4,Belgium,Austria,| Monday 4th October | 11:00,Belgium beat Austria by 34 runs,Adnan Razzaq,2,0,23,2,0,0,11.50
5,Belgium,Austria,| Monday 4th October | 11:00,Belgium beat Austria by 34 runs,Aziz Mohammad,1,0,29,0,1,1,29
0,Austria,Belgium,| Monday 4th October | 11:00,Belgium beat Austria by 34 runs,Murid Ekrami,2,0,32,1,0,1,16
1,Austria,Belgium,| Monday 4th October | 11:00,Belgium beat Austria by 34 runs,Fahim Bhatti,1,0,13,0,0,2,13
2,Austria,Belgium,| Monday 4th October | 11:00,Belgium beat Austria by 34 runs,Saber Zakhil,2,0,22,1,0,1,11
3,Austria,Belgium,| Monday 4th October | 11:00,Belgium beat Austria by 34 runs,Khalid Ahmadzai,2,0,13,3,0,1,6.50
4,Austria,Belgium,| Monday 4th October | 11:00,Belgium beat Austria by 34 runs,Adnan Razzaq,2,0,23,2,0,0,11.50
5,Austria,Belgium,| Monday 4th October | 11:00,Belgium beat Austria by 34 runs,Aziz Mohammad,1,0,29,0,1,1,29
0,Netherlands XI,Spain,| Monday 4th October | 09:00,Netherlands XI beat Spain by 90 runs,Viv Kingma,2,0,6,2,0,0,3
1,Netherlands XI,Spain,| Monday 4th October | 09:00,Netherlands XI beat Spain by 90 runs,Ryan Klein,1,0,2,1,0,0,2
2,Netherlands XI,Spain,| Monday 4th October | 09:00,Netherlands XI beat Spain by 90 runs,Clayton Floyd,1,0,3,2,0,1,3
3,Netherlands XI,Spain,| Monday 4th October | 09:00,Netherlands XI beat Spain by 90 runs,Sebastiaan Braat (c),1,0,7,1,0,0,7
4,Netherlands XI,Spain,| Monday 4th October | 09:00,Netherlands XI beat Spain by 90 runs,Julian De Mey,1.4,0,9,2,0,0,5.40
5,Netherlands XI,Spain,| Monday 4th October | 09:00,Netherlands XI beat Spain by 90 runs,Niels Etman,1,0,8,1,0,0,8
6,Netherlands XI,Spain,| Monday 4th October | 09:00,Netherlands XI beat Spain by 90 runs,Aryan Dutt,1,0,3,0,0,0,3
0,Spain,Netherlands XI,| Monday 4th October | 09:00,Netherlands XI beat Spain by 90 runs,Viv Kingma,2,0,6,2,0,0,3
1,Spain,Netherlands XI,| Monday 4th October | 09:00,Netherlands XI beat Spain by 90 runs,Ryan Klein,1,0,2,1,0,0,2
2,Spain,Netherlands XI,| Monday 4th October | 09:00,Netherlands XI beat Spain by 90 runs,Clayton Floyd,1,0,3,2,0,1,3
3,Spain,Netherlands XI,| Monday 4th October | 09:00,Netherlands XI beat Spain by 90 runs,Sebastiaan Braat (c),1,0,7,1,0,0,7
4,Spain,Netherlands XI,| Monday 4th October | 09:00,Netherlands XI beat Spain by 90 runs,Julian De Mey,1.4,0,9,2,0,0,5.40
5,Spain,Netherlands XI,| Monday 4th October | 09:00,Netherlands XI beat Spain by 90 runs,Niels Etman,1,0,8,1,0,0,8
6,Spain,Netherlands XI,| Monday 4th October | 09:00,Netherlands XI beat Spain by 90 runs,Aryan Dutt,1,0,3,0,0,0,3
0,Belgium,Italy,| Monday 4th October | 07:00,Belgium beat Italy by 64 runs,Murid Ekrami,2,0,21,1,0,0,10.50
1,Belgium,Italy,| Monday 4th October | 07:00,Belgium beat Italy by 64 runs,Fahim Bhatti,2,0,16,2,0,2,8
2,Belgium,Italy,| Monday 4th October | 07:00,Belgium beat Italy by 64 runs,Saber Zakhil,1,0,14,0,0,0,14
3,Belgium,Italy,| Monday 4th October | 07:00,Belgium beat Italy by 64 runs,Khalid Ahmadzai,2,0,21,0,2,0,10.50
4,Belgium,Italy,| Monday 4th October | 07:00,Belgium beat Italy by 64 runs,Adnan Razzaq,2,0,4,2,0,0,2
5,Belgium,Italy,| Monday 4th October | 07:00,Belgium beat Italy by 64 runs,Aziz Mohammad,1,0,9,1,0,1,9
0,Italy,Belgium,| Monday 4th October | 07:00,Belgium beat Italy by 64 runs,Murid Ekrami,2,0,21,1,0,0,10.50
1,Italy,Belgium,| Monday 4th October | 07:00,Belgium beat Italy by 64 runs,Fahim Bhatti,2,0,16,2,0,2,8
2,Italy,Belgium,| Monday 4th October | 07:00,Belgium beat Italy by 64 runs,Saber Zakhil,1,0,14,0,0,0,14
3,Italy,Belgium,| Monday 4th October | 07:00,Belgium beat Italy by 64 runs,Khalid Ahmadzai,2,0,21,0,2,0,10.50
4,Italy,Belgium,| Monday 4th October | 07:00,Belgium beat Italy by 64 runs,Adnan Razzaq,2,0,4,2,0,0,2
5,Italy,Belgium,| Monday 4th October | 07:00,Belgium beat Italy by 64 runs,Aziz Mohammad,1,0,9,1,0,1,9
0,Italy,England XI,| Friday 1st October | 15:00,England XI beat Italy by 6 wickets,Janaka Wass,2,0,21,0,0,1,10.50
1,Italy,England XI,| Friday 1st October | 15:00,England XI beat Italy by 6 wickets,Ravi Paul,1,0,25,0,0,1,25
2,Italy,England XI,| Friday 1st October | 15:00,England XI beat Italy by 6 wickets,Baljit Singh (c),2,0,44,1,0,1,22
3,Italy,England XI,| Friday 1st October | 15:00,England XI beat Italy by 6 wickets,Amir Sharif,1,0,20,1,0,0,20
4,Italy,England XI,| Friday 1st October | 15:00,England XI beat Italy by 6 wickets,Damith Kosala,2,0,17,1,0,0,8.50
5,Italy,England XI,| Friday 1st October | 15:00,England XI beat Italy by 6 wickets,Jaspreet Singh,1.3,0,14,1,0,1,9.33
0,England XI,Italy,| Friday 1st October | 15:00,England XI beat Italy by 6 wickets,Janaka Wass,2,0,21,0,0,1,10.50
1,England XI,Italy,| Friday 1st October | 15:00,England XI beat Italy by 6 wickets,Ravi Paul,1,0,25,0,0,1,25
2,England XI,Italy,| Friday 1st October | 15:00,England XI beat Italy by 6 wickets,Baljit Singh (c),2,0,44,1,0,1,22
3,England XI,Italy,| Friday 1st October | 15:00,England XI beat Italy by 6 wickets,Amir Sharif,1,0,20,1,0,0,20
4,England XI,Italy,| Friday 1st October | 15:00,England XI beat Italy by 6 wickets,Damith Kosala,2,0,17,1,0,0,8.50
5,England XI,Italy,| Friday 1st October | 15:00,England XI beat Italy by 6 wickets,Jaspreet Singh,1.3,0,14,1,0,1,9.33
0,Germany,Italy,| Friday 1st October | 12:00,Italy beat Germany by 9 wickets,Fayaz Nasseri,2,0,23,1,1,0,11.50
1,Germany,Italy,| Friday 1st October | 12:00,Italy beat Germany by 9 wickets,Sreekesh Srinivas,1,0,16,0,0,0,16
2,Germany,Italy,| Friday 1st October | 12:00,Italy beat Germany by 9 wickets,Abdul Shakoor Rahimzei,1,0,13,0,0,0,13
3,Germany,Italy,| Friday 1st October | 12:00,Italy beat Germany by 9 wickets,Shoaib Azam,1,0,9,0,0,0,9
4,Germany,Italy,| Friday 1st October | 12:00,Italy beat Germany by 9 wickets,Nasrullah Zadran,0.4,0,22,0,0,0,33
0,Italy,Germany,| Friday 1st October | 12:00,Italy beat Germany by 9 wickets,Fayaz Nasseri,2,0,23,1,1,0,11.50
1,Italy,Germany,| Friday 1st October | 12:00,Italy beat Germany by 9 wickets,Sreekesh Srinivas,1,0,16,0,0,0,16
2,Italy,Germany,| Friday 1st October | 12:00,Italy beat Germany by 9 wickets,Abdul Shakoor Rahimzei,1,0,13,0,0,0,13
3,Italy,Germany,| Friday 1st October | 12:00,Italy beat Germany by 9 wickets,Shoaib Azam,1,0,9,0,0,0,9
4,Italy,Germany,| Friday 1st October | 12:00,Italy beat Germany by 9 wickets,Nasrullah Zadran,0.4,0,22,0,0,0,33
0,Germany,England XI,| Friday 1st October | 09:00,England XI beat Germany by 6 wickets,Fayaz Nasseri,2,0,28,0,0,2,14
1,Germany,England XI,| Friday 1st October | 09:00,England XI beat Germany by 6 wickets,Sreekesh Srinivas,2,0,20,0,0,1,10
2,Germany,England XI,| Friday 1st October | 09:00,England XI beat Germany by 6 wickets,Shoaib Azam,1,0,12,0,0,0,12
3,Germany,England XI,| Friday 1st October | 09:00,England XI beat Germany by 6 wickets,Rajeshkumar Chinnasamy,1,0,17,1,0,0,17
4,Germany,England XI,| Friday 1st October | 09:00,England XI beat Germany by 6 wickets,Abdul Shakoor Rahimzei,1,0,6,2,0,0,6
5,Germany,England XI,| Friday 1st October | 09:00,England XI beat Germany by 6 wickets,Nasrullah Zadran,1,0,19,0,0,0,19
0,England XI,Germany,| Friday 1st October | 09:00,England XI beat Germany by 6 wickets,Fayaz Nasseri,2,0,28,0,0,2,14
1,England XI,Germany,| Friday 1st October | 09:00,England XI beat Germany by 6 wickets,Sreekesh Srinivas,2,0,20,0,0,1,10
2,England XI,Germany,| Friday 1st October | 09:00,England XI beat Germany by 6 wickets,Shoaib Azam,1,0,12,0,0,0,12
3,England XI,Germany,| Friday 1st October | 09:00,England XI beat Germany by 6 wickets,Rajeshkumar Chinnasamy,1,0,17,1,0,0,17
4,England XI,Germany,| Friday 1st October | 09:00,England XI beat Germany by 6 wickets,Abdul Shakoor Rahimzei,1,0,6,2,0,0,6
5,England XI,Germany,| Friday 1st October | 09:00,England XI beat Germany by 6 wickets,Nasrullah Zadran,1,0,19,0,0,0,19
0,Czech Republic,Italy,| Friday 1st October | 07:00,Italy beat Czech Republic by 10 wickets,Satyajit Sengupta,1,0,23,0,0,0,23
1,Czech Republic,Italy,| Friday 1st October | 07:00,Italy beat Czech Republic by 10 wickets,Sudesh Wickramasekara,2,0,26,0,0,2,13
2,Czech Republic,Italy,| Friday 1st October | 07:00,Italy beat Czech Republic by 10 wickets,Sabawoon Davizi,1,0,19,0,1,3,19
3,Czech Republic,Italy,| Friday 1st October | 07:00,Italy beat Czech Republic by 10 wickets,Ali Waqar,1.5,0,32,0,0,1,17.45
4,Czech Republic,Italy,| Friday 1st October | 07:00,Italy beat Czech Republic by 10 wickets,Keyur Mehta,1,0,21,0,0,1,21
5,Czech Republic,Italy,| Friday 1st October | 07:00,Italy beat Czech Republic by 10 wickets,Kushal Mendon,1,0,19,0,0,1,19
0,Italy,Czech Republic,| Friday 1st October | 07:00,Italy beat Czech Republic by 10 wickets,Satyajit Sengupta,1,0,23,0,0,0,23
1,Italy,Czech Republic,| Friday 1st October | 07:00,Italy beat Czech Republic by 10 wickets,Sudesh Wickramasekara,2,0,26,0,0,2,13
2,Italy,Czech Republic,| Friday 1st October | 07:00,Italy beat Czech Republic by 10 wickets,Sabawoon Davizi,1,0,19,0,1,3,19
3,Italy,Czech Republic,| Friday 1st October | 07:00,Italy beat Czech Republic by 10 wickets,Ali Waqar,1.5,0,32,0,0,1,17.45
4,Italy,Czech Republic,| Friday 1st October | 07:00,Italy beat Czech Republic by 10 wickets,Keyur Mehta,1,0,21,0,0,1,21
5,Italy,Czech Republic,| Friday 1st October | 07:00,Italy beat Czech Republic by 10 wickets,Kushal Mendon,1,0,19,0,0,1,19
0,Italy,Germany,| Thursday 30th September | 15:00,Italy beat Germany by 35 runs,Janaka Wass,2,0,19,0,0,0,9.50
1,Italy,Germany,| Thursday 30th September | 15:00,Italy beat Germany by 35 runs,Ravi Paul,2,0,7,4,0,0,3.50
2,Italy,Germany,| Thursday 30th September | 15:00,Italy beat Germany by 35 runs,Damith Kosala,2,0,16,3,0,0,8
3,Italy,Germany,| Thursday 30th September | 15:00,Italy beat Germany by 35 runs,Jorawar Singh,2,0,17,1,0,0,8.50
4,Italy,Germany,| Thursday 30th September | 15:00,Italy beat Germany by 35 runs,Ammad Khan,1,0,16,0,1,0,16
5,Italy,Germany,| Thursday 30th September | 15:00,Italy beat Germany by 35 runs,Jaspreet Singh,1,0,8,2,0,0,8
0,Germany,Italy,| Thursday 30th September | 15:00,Italy beat Germany by 35 runs,Janaka Wass,2,0,19,0,0,0,9.50
1,Germany,Italy,| Thursday 30th September | 15:00,Italy beat Germany by 35 runs,Ravi Paul,2,0,7,4,0,0,3.50
2,Germany,Italy,| Thursday 30th September | 15:00,Italy beat Germany by 35 runs,Damith Kosala,2,0,16,3,0,0,8
3,Germany,Italy,| Thursday 30th September | 15:00,Italy beat Germany by 35 runs,Jorawar Singh,2,0,17,1,0,0,8.50
4,Germany,Italy,| Thursday 30th September | 15:00,Italy beat Germany by 35 runs,Ammad Khan,1,0,16,0,1,0,16
5,Germany,Italy,| Thursday 30th September | 15:00,Italy beat Germany by 35 runs,Jaspreet Singh,1,0,8,2,0,0,8
0,Czech Republic,England XI,| Thursday 30th September | 13:00,England XI beat Czech Republic by 8 wickets,Satyajit Sengupta,2,0,28,1,0,0,14
1,Czech Republic,England XI,| Thursday 30th September | 13:00,England XI beat Czech Republic by 8 wickets,Sudesh Wickramasekara,2,0,16,0,0,0,8
2,Czech Republic,England XI,| Thursday 30th September | 13:00,England XI beat Czech Republic by 8 wickets,Keyur Mehta,1,0,7,0,0,0,7
3,Czech Republic,England XI,| Thursday 30th September | 13:00,England XI beat Czech Republic by 8 wickets,Sabawoon Davizi,1,0,11,0,0,0,11
4,Czech Republic,England XI,| Thursday 30th September | 13:00,England XI beat Czech Republic by 8 wickets,Ali Waqar,0.4,0,11,0,0,1,16.50
0,England XI,Czech Republic,| Thursday 30th September | 13:00,England XI beat Czech Republic by 8 wickets,Satyajit Sengupta,2,0,28,1,0,0,14
1,England XI,Czech Republic,| Thursday 30th September | 13:00,England XI beat Czech Republic by 8 wickets,Sudesh Wickramasekara,2,0,16,0,0,0,8
2,England XI,Czech Republic,| Thursday 30th September | 13:00,England XI beat Czech Republic by 8 wickets,Keyur Mehta,1,0,7,0,0,0,7
3,England XI,Czech Republic,| Thursday 30th September | 13:00,England XI beat Czech Republic by 8 wickets,Sabawoon Davizi,1,0,11,0,0,0,11
4,England XI,Czech Republic,| Thursday 30th September | 13:00,England XI beat Czech Republic by 8 wickets,Ali Waqar,0.4,0,11,0,0,1,16.50
0,Finland,Germany,| Thursday 30th September | 11:00,Germany beat Finland by 5 wickets,Amjad Sher,2,0,25,1,0,1,12.50
1,Finland,Germany,| Thursday 30th September | 11:00,Germany beat Finland by 5 wickets,Naveed Shahid,2,0,17,0,0,2,8.50
2,Finland,Germany,| Thursday 30th September | 11:00,Germany beat Finland by 5 wickets,Parveen Kumar,1,0,20,0,0,1,20
3,Finland,Germany,| Thursday 30th September | 11:00,Germany beat Finland by 5 wickets,Hariharan Dandapani,1,0,16,0,0,1,16
4,Finland,Germany,| Thursday 30th September | 11:00,Germany beat Finland by 5 wickets,Mahesh Tambe,1,0,6,0,0,0,6
5,Finland,Germany,| Thursday 30th September | 11:00,Germany beat Finland by 5 wickets,Raaz Mohammad,1.1,0,12,1,0,0,10.28
6,Finland,Germany,| Thursday 30th September | 11:00,Germany beat Finland by 5 wickets,Peter Gallagher,1,0,2,3,0,0,2
0,Germany,Finland,| Thursday 30th September | 11:00,Germany beat Finland by 5 wickets,Amjad Sher,2,0,25,1,0,1,12.50
1,Germany,Finland,| Thursday 30th September | 11:00,Germany beat Finland by 5 wickets,Naveed Shahid,2,0,17,0,0,2,8.50
2,Germany,Finland,| Thursday 30th September | 11:00,Germany beat Finland by 5 wickets,Parveen Kumar,1,0,20,0,0,1,20
3,Germany,Finland,| Thursday 30th September | 11:00,Germany beat Finland by 5 wickets,Hariharan Dandapani,1,0,16,0,0,1,16
4,Germany,Finland,| Thursday 30th September | 11:00,Germany beat Finland by 5 wickets,Mahesh Tambe,1,0,6,0,0,0,6
5,Germany,Finland,| Thursday 30th September | 11:00,Germany beat Finland by 5 wickets,Raaz Mohammad,1.1,0,12,1,0,0,10.28
6,Germany,Finland,| Thursday 30th September | 11:00,Germany beat Finland by 5 wickets,Peter Gallagher,1,0,2,3,0,0,2
0,Czech Republic,Italy,| Thursday 30th September | 09:00,Italy beat Czech Republic by 9 wickets,Satyajit Sengupta,2,0,20,1,0,1,10
1,Czech Republic,Italy,| Thursday 30th September | 09:00,Italy beat Czech Republic by 9 wickets,Sudesh Wickramasekara,1,0,3,0,0,0,3
2,Czech Republic,Italy,| Thursday 30th September | 09:00,Italy beat Czech Republic by 9 wickets,Keyur Mehta,1.5,0,21,0,0,0,11.45
3,Czech Republic,Italy,| Thursday 30th September | 09:00,Italy beat Czech Republic by 9 wickets,Kushal Mendon,1,0,5,0,0,1,5
0,Italy,Czech Republic,| Thursday 30th September | 09:00,Italy beat Czech Republic by 9 wickets,Satyajit Sengupta,2,0,20,1,0,1,10
1,Italy,Czech Republic,| Thursday 30th September | 09:00,Italy beat Czech Republic by 9 wickets,Sudesh Wickramasekara,1,0,3,0,0,0,3
2,Italy,Czech Republic,| Thursday 30th September | 09:00,Italy beat Czech Republic by 9 wickets,Keyur Mehta,1.5,0,21,0,0,0,11.45
3,Italy,Czech Republic,| Thursday 30th September | 09:00,Italy beat Czech Republic by 9 wickets,Kushal Mendon,1,0,5,0,0,1,5
0,England XI,Finland,| Thursday 30th September | 07:00,England XI beat Finland by 14 runs,Rich Edwards,2,0,27,1,0,2,13.50
1,England XI,Finland,| Thursday 30th September | 07:00,England XI beat Finland by 14 runs,Zaman Akhter,1,0,5,1,0,1,5
2,England XI,Finland,| Thursday 30th September | 07:00,England XI beat Finland by 14 runs,Euan Woods,2,0,14,0,0,0,7
3,England XI,Finland,| Thursday 30th September | 07:00,England XI beat Finland by 14 runs,Sam Pearce,1,0,7,2,0,1,7
4,England XI,Finland,| Thursday 30th September | 07:00,England XI beat Finland by 14 runs,Max Uttley,2,0,16,0,1,0,8
5,England XI,Finland,| Thursday 30th September | 07:00,England XI beat Finland by 14 runs,Arthur Godsal,2,0,28,1,1,1,14
0,Finland,England XI,| Thursday 30th September | 07:00,England XI beat Finland by 14 runs,Rich Edwards,2,0,27,1,0,2,13.50
1,Finland,England XI,| Thursday 30th September | 07:00,England XI beat Finland by 14 runs,Zaman Akhter,1,0,5,1,0,1,5
2,Finland,England XI,| Thursday 30th September | 07:00,England XI beat Finland by 14 runs,Euan Woods,2,0,14,0,0,0,7
3,Finland,England XI,| Thursday 30th September | 07:00,England XI beat Finland by 14 runs,Sam Pearce,1,0,7,2,0,1,7
4,Finland,England XI,| Thursday 30th September | 07:00,England XI beat Finland by 14 runs,Max Uttley,2,0,16,0,1,0,8
5,Finland,England XI,| Thursday 30th September | 07:00,England XI beat Finland by 14 runs,Arthur Godsal,2,0,28,1,1,1,14
0,Germany,Finland,| Wednesday 29th September | 15:00,Germany beat Finland by 25 runs,Fayaz Nasseri,2,0,16,1,0,1,8
1,Germany,Finland,| Wednesday 29th September | 15:00,Germany beat Finland by 25 runs,Nasrullah Zadran,2,0,10,2,0,1,5
2,Germany,Finland,| Wednesday 29th September | 15:00,Germany beat Finland by 25 runs,Rajeshkumar Chinnasamy,1,0,19,0,0,0,19
3,Germany,Finland,| Wednesday 29th September | 15:00,Germany beat Finland by 25 runs,Saied Sajad,1,0,10,2,0,0,10
4,Germany,Finland,| Wednesday 29th September | 15:00,Germany beat Finland by 25 runs,Shoaib Azam,2,0,19,0,0,0,9.50
5,Germany,Finland,| Wednesday 29th September | 15:00,Germany beat Finland by 25 runs,Rohit Singh (c),2,0,30,2,1,1,15
0,Finland,Germany,| Wednesday 29th September | 15:00,Germany beat Finland by 25 runs,Fayaz Nasseri,2,0,16,1,0,1,8
1,Finland,Germany,| Wednesday 29th September | 15:00,Germany beat Finland by 25 runs,Nasrullah Zadran,2,0,10,2,0,1,5
2,Finland,Germany,| Wednesday 29th September | 15:00,Germany beat Finland by 25 runs,Rajeshkumar Chinnasamy,1,0,19,0,0,0,19
3,Finland,Germany,| Wednesday 29th September | 15:00,Germany beat Finland by 25 runs,Saied Sajad,1,0,10,2,0,0,10
4,Finland,Germany,| Wednesday 29th September | 15:00,Germany beat Finland by 25 runs,Shoaib Azam,2,0,19,0,0,0,9.50
5,Finland,Germany,| Wednesday 29th September | 15:00,Germany beat Finland by 25 runs,Rohit Singh (c),2,0,30,2,1,1,15
0,England XI,Czech Republic,| Wednesday 29th September | 13:00,England XI beat Czech Republic by 72 runs,Rich Edwards,2,0,13,2,0,3,6.50
1,England XI,Czech Republic,| Wednesday 29th September | 13:00,England XI beat Czech Republic by 72 runs,Euan Woods,1,0,20,0,1,0,20
2,England XI,Czech Republic,| Wednesday 29th September | 13:00,England XI beat Czech Republic by 72 runs,Zaman Akhter,2,0,17,1,0,0,8.50
3,England XI,Czech Republic,| Wednesday 29th September | 13:00,England XI beat Czech Republic by 72 runs,Arthur Godsal,1,0,25,0,0,1,25
4,England XI,Czech Republic,| Wednesday 29th September | 13:00,England XI beat Czech Republic by 72 runs,Andy Rishton,1,0,6,2,0,0,6
5,England XI,Czech Republic,| Wednesday 29th September | 13:00,England XI beat Czech Republic by 72 runs,Alex Russell,2,0,6,1,0,0,3
6,England XI,Czech Republic,| Wednesday 29th September | 13:00,England XI beat Czech Republic by 72 runs,Sam Pearce,1,0,2,2,0,0,2
0,Czech Republic,England XI,| Wednesday 29th September | 13:00,England XI beat Czech Republic by 72 runs,Rich Edwards,2,0,13,2,0,3,6.50
1,Czech Republic,England XI,| Wednesday 29th September | 13:00,England XI beat Czech Republic by 72 runs,Euan Woods,1,0,20,0,1,0,20
